,D01,D02,D03,D04,D05,D06,D07,S01,S02,S03,S04,S05,M01,M02,M03,M04,M05,M06,M07,O01
2023-12-07,0,0,0,0,1,0,0,2871.68,0,1247.36,3422.1999999999994,3012.16,951.0,331.0,160.0,312.0,105.0,169.0,42.0,574.5799999999999
2023-12-06,0,0,0,1,0,0,0,2656.04,3864.6399999999994,2585.4199999999996,3235.96,2461.16,897.0,363.0,85.0,381.0,60.0,27.0,12.0,539.84
2023-12-05,0,0,1,0,0,0,0,4511.98,3068.04,1716.74,2413.7200000000003,1902.9,1777.0,712.0,550.0,249.0,140.0,134.0,36.0,1559.8599999999997
2023-12-04,0,1,0,0,0,0,0,1840.92,1720.66,2540.3599999999997,2190.54,1832.54,1129.0,402.0,90.0,314.0,101.0,38.0,6.0,860.6799999999994
2023-12-03,1,0,0,0,0,0,0,0,0,0,0,0,1389.0,90.0,0.0,0.0,0.0,0.0,0.0,400.0
2023-12-02,0,0,0,0,0,0,1,2525.94,3492.14,4512.32,3102.7200000000003,4318.699999999999,1389.0,478.0,267.0,333.0,138.0,62.0,6.0,792.7599999999998
2023-12-01,0,0,0,0,0,1,0,576.62,3428.98,3444.879999999999,3430.7799999999997,3021.7799999999993,1009.0,329.0,127.0,451.0,68.0,17.0,30.0,515.28
2023-11-30,0,0,0,0,1,0,0,0,1247.36,3422.1999999999994,3012.16,2634.84,1920.0,237.0,126.0,113.0,97.0,11.0,42.0,325.68
2023-11-29,0,0,0,1,0,0,0,3864.6399999999994,2585.4199999999996,3235.96,2461.16,1871.66,901.0,501.0,179.0,367.0,78.0,37.0,18.0,575.0399999999998
2023-11-28,0,0,1,0,0,0,0,3068.04,1716.74,2413.7200000000003,1902.9,3398.28,2658.0,773.0,70.0,287.0,50.0,0.0,38.0,635.9799999999996
2023-11-27,0,1,0,0,0,0,0,1720.66,2540.3599999999997,2190.54,1832.54,1305.66,604.0,243.0,69.0,301.0,90.0,10.0,0.0,523.9200000000001
2023-11-25,0,0,0,0,0,0,1,3492.14,4512.32,3102.7200000000003,4318.699999999999,4954.439999999999,834.0,323.0,157.0,431.0,180.0,74.0,90.0,436.94000000000005
2023-11-24,0,0,0,0,0,1,0,3428.98,3444.879999999999,3430.7799999999997,3021.7799999999993,2944.16,213.0,195.0,15.0,41.0,0.0,0.0,20.0,92.62
2023-11-22,0,0,0,1,0,0,0,2585.4199999999996,3235.96,2461.16,1871.66,1963.3400000000001,1280.0,380.0,135.0,552.0,105.0,317.0,56.0,1039.6399999999992
2023-11-21,0,0,1,0,0,0,0,1716.74,2413.7200000000003,1902.9,3398.28,1745.86,1028.0,406.0,145.0,509.0,67.0,125.0,50.0,738.0399999999998
2023-11-20,0,1,0,0,0,0,0,2540.3599999999997,2190.54,1832.54,1305.66,1546.16,746.0,270.0,80.0,117.0,30.0,60.0,20.0,397.66
2023-11-18,0,0,0,0,0,0,1,4512.32,3102.7200000000003,4318.699999999999,4954.439999999999,4443.94,1464.0,312.0,197.0,527.0,253.0,71.0,62.0,606.14
2023-11-17,0,0,0,0,0,1,0,3444.879999999999,3430.7799999999997,3021.7799999999993,2944.16,2955.82,1075.0,348.0,122.0,404.0,51.0,553.0,36.0,839.9799999999999
2023-11-16,0,0,0,0,1,0,0,3422.1999999999994,3012.16,2634.84,1981.54,2161.16,404.0,75.0,0.0,201.0,39.0,0.0,6.0,522.3599999999999
2023-11-15,0,0,0,1,0,0,0,3235.96,2461.16,1871.66,1963.3400000000001,3506.7799999999997,840.0,180.0,150.0,137.0,60.0,34.0,30.0,1154.4199999999996
2023-11-14,0,0,1,0,0,0,0,2413.7200000000003,1902.9,3398.28,1745.86,2402.48,485.0,93.0,50.0,240.0,41.0,47.0,42.0,718.74
2023-11-13,0,1,0,0,0,0,0,2190.54,1832.54,1305.66,1546.16,1808.04,583.0,146.0,140.0,213.0,91.0,81.0,12.0,1274.36
2023-11-11,0,0,0,0,0,0,1,3102.7200000000003,4318.699999999999,4954.439999999999,4443.94,5264.48,1501.0,521.0,262.0,534.0,231.0,74.0,12.0,1377.3199999999995
2023-11-10,0,0,0,0,0,1,0,3430.7799999999997,3021.7799999999993,2944.16,2955.82,4870.7,1053.0,432.0,142.0,480.0,195.0,121.0,30.0,991.8799999999992
2023-11-09,0,0,0,0,1,0,0,3012.16,2634.84,1981.54,2161.16,2118.34,1321.0,368.0,87.0,522.0,93.0,62.0,30.0,939.1999999999992
2023-11-08,0,0,0,1,0,0,0,2461.16,1871.66,1963.3400000000001,3506.7799999999997,1972.8200000000002,1934.0,162.0,95.0,435.0,75.0,30.0,64.0,440.96000000000004
2023-11-07,0,0,1,0,0,0,0,1902.9,3398.28,1745.86,2402.48,2277.2799999999997,799.0,362.0,81.0,290.0,73.0,64.0,38.0,706.72
2023-11-06,0,1,0,0,0,0,0,1832.54,1305.66,1546.16,1808.04,1407.96,749.0,236.0,72.0,160.0,90.0,30.0,38.0,815.54
2023-11-04,0,0,0,0,0,0,1,4318.699999999999,4954.439999999999,4443.94,5264.48,4372.98,1211.0,342.0,119.0,623.0,103.0,50.0,70.0,584.72
2023-11-03,0,0,0,0,0,1,0,3021.7799999999993,2944.16,2955.82,4870.7,3047.8199999999997,1141.0,411.0,140.0,564.0,148.0,51.0,26.0,949.78
2023-11-02,0,0,0,0,1,0,0,2634.84,1981.54,2161.16,2118.34,2689.46,1000.0,689.0,135.0,452.0,144.0,30.0,42.0,520.1600000000001
2023-11-01,0,0,0,1,0,0,0,1871.66,1963.3400000000001,3506.7799999999997,1972.8200000000002,2969.73,904.0,183.0,125.0,265.0,72.0,51.0,68.0,793.16
2023-10-31,0,0,1,0,0,0,0,3398.28,1745.86,2402.48,2277.2799999999997,1561.0900000000001,600.0,279.0,97.0,362.0,97.0,10.0,36.0,421.90000000000003
2023-10-30,0,1,0,0,0,0,0,1305.66,1546.16,1808.04,1407.96,1025.22,524.0,184.0,80.0,276.0,74.0,50.0,24.0,620.54
2023-10-28,0,0,0,0,0,0,1,4954.439999999999,4443.94,5264.48,4372.98,4313.519999999999,1331.0,752.0,172.0,664.0,173.0,92.0,32.0,1102.6999999999994
2023-10-27,0,0,0,0,0,1,0,2944.16,2955.82,4870.7,3047.8199999999997,2746.71,1004.0,230.0,160.0,459.0,110.0,60.0,72.0,926.7799999999994
2023-10-26,0,0,0,0,1,0,0,1981.54,2161.16,2118.34,2689.46,1822.52,946.0,331.0,184.0,442.0,75.0,40.0,30.0,586.84
2023-10-25,0,0,0,1,0,0,0,1963.3400000000001,3506.7799999999997,1972.8200000000002,2969.73,1804.4,639.0,230.0,120.0,394.0,40.0,50.0,72.0,326.66
2023-10-24,0,0,1,0,0,0,0,1745.86,2402.48,2277.2799999999997,1561.0900000000001,1171.54,2004.0,326.0,70.0,323.0,124.0,67.0,70.0,414.28000000000003
2023-10-23,0,1,0,0,0,0,0,1546.16,1808.04,1407.96,1025.22,1353.33,440.0,199.0,65.0,250.0,61.0,43.0,36.0,211.66000000000003
2023-10-21,0,0,0,0,0,0,1,4443.94,5264.48,4372.98,4313.519999999999,3787.7499999999995,1485.0,550.0,182.0,554.0,148.0,133.0,40.0,1862.4399999999991
2023-10-20,0,0,0,0,0,1,0,2955.82,4870.7,3047.8199999999997,2746.71,2857.94,1117.0,426.0,177.0,440.0,169.0,38.0,24.0,553.1600000000001
2023-10-19,0,0,0,0,1,0,0,2161.16,2118.34,2689.46,1822.52,1793.38,672.0,371.0,75.0,312.0,131.0,20.0,26.0,374.54
2023-10-18,0,0,0,1,0,0,0,3506.7799999999997,1972.8200000000002,2969.73,1804.4,1525.3400000000001,755.0,281.0,110.0,261.0,40.0,10.0,48.0,458.34000000000003
2023-10-17,0,0,1,0,0,0,0,2402.48,2277.2799999999997,1561.0900000000001,1171.54,1667.18,598.0,157.0,98.0,221.0,75.0,54.0,12.0,530.8599999999999
2023-10-16,0,1,0,0,0,0,0,1808.04,1407.96,1025.22,1353.33,768.8,612.0,172.0,91.0,268.0,52.0,50.0,54.0,247.16000000000003
2023-10-14,0,0,0,0,0,0,1,5264.48,4372.98,4313.519999999999,3787.7499999999995,3400.659999999999,1506.0,706.0,241.0,790.0,188.0,80.0,54.0,878.9399999999999
2023-10-13,0,0,0,0,0,1,0,4870.7,3047.8199999999997,2746.71,2857.94,1989.28,1209.0,385.0,155.0,546.0,95.0,74.0,80.0,411.82000000000005
2023-10-12,0,0,0,0,1,0,0,2118.34,2689.46,1822.52,1793.38,1337.22,832.0,403.0,191.0,402.0,40.0,20.0,42.0,231.16000000000003
2023-10-11,0,0,0,1,0,0,0,1972.8200000000002,2969.73,1804.4,1525.3400000000001,1013.9100000000001,1452.0,671.0,115.0,319.0,71.0,117.0,18.0,743.7799999999997
2023-10-10,0,0,1,0,0,0,0,2277.2799999999997,1561.0900000000001,1171.54,1667.18,1155.8,975.0,404.0,82.0,329.0,101.0,71.0,36.0,404.48
2023-10-09,0,1,0,0,0,0,0,1407.96,1025.22,1353.33,768.8,4057.89,790.0,283.0,80.0,186.0,93.0,30.0,12.0,334.04
2023-10-07,0,0,0,0,0,0,1,4372.98,4313.519999999999,3787.7499999999995,3400.659999999999,3568.0999999999995,2011.0,988.0,206.0,851.0,267.0,91.0,102.0,748.4799999999991
2023-10-06,0,0,0,0,0,1,0,3047.8199999999997,2746.71,2857.94,1989.28,2407.88,2882.0,430.0,146.0,583.0,112.0,112.0,54.0,551.7
2023-10-05,0,0,0,0,1,0,0,2689.46,1822.52,1793.38,1337.22,1642.3200000000002,787.0,318.0,125.0,448.0,86.0,74.0,0.0,280.34000000000003
