,Year,Month,MonthDay,WeekDay,Hour,Item,Cost
2023-12-07 17:55:00,2023,12,7,4,17,"Build a Bowl, Mac Bowl or Potato Bomb Bowl",8.0
2023-12-07 17:55:00,2023,12,7,4,17,"No Toppings, Just Plain__mp_bomb",0.0
2023-12-07 17:55:00,2023,12,7,4,17,Potato Bomb Bowl Base__mp_bomb,0.0
2023-12-07 17:55:00,2023,12,7,4,17,Certified Angus Beef Brisket Burnt Ends__mp_bomb,10.0
2023-12-07 17:55:00,2023,12,7,4,17,Country Green Beans,2.0
2023-12-07 17:55:00,2023,12,7,4,17,Loaded Mash Potato,1.56
2023-12-07 17:55:00,2023,12,7,4,17,Side Stacker,6.0
2023-12-07 17:46:00,2023,12,7,4,17,Prime Angus Brisket__combo,15.0
2023-12-07 17:46:00,2023,12,7,4,17,Prime Angus Burnt Ends__combo,15.0
2023-12-07 17:46:00,2023,12,7,4,17,Ribs__combo,10.0
2023-12-07 17:46:00,2023,12,7,4,17,Texas Beef Sausage__combo,10.0
2023-12-07 17:46:00,2023,12,7,4,17,Bobs Country Beans__combo,0.0
2023-12-07 17:46:00,2023,12,7,4,17,Bobs Country Beans__combo,0.0
2023-12-07 17:46:00,2023,12,7,4,17,Bobs Country Beans__combo,0.0
2023-12-07 17:31:00,2023,12,7,4,17,Ribs__combo,10.0
2023-12-07 17:31:00,2023,12,7,4,17,Southern Creamy Coleslaw__combo,0.0
2023-12-07 17:31:00,2023,12,7,4,17,Bobs Country Beans__combo,0.0
2023-12-07 17:31:00,2023,12,7,4,17,Prime Angus Brisket__combo,15.0
2023-12-07 17:31:00,2023,12,7,4,17,Smoked Mac-N-Cheese__combo,0.0
2023-12-07 17:31:00,2023,12,7,4,17,Southern Potato Salad__combo,0.0
2023-12-07 17:31:00,2023,12,7,4,17,Prime Angus Brisket__combo,15.0
2023-12-07 17:31:00,2023,12,7,4,17,Smoked Mac-N-Cheese__combo,0.0
2023-12-07 17:31:00,2023,12,7,4,17,Southern Potato Salad__combo,0.0
